place_name,rating,shop_type,sentence,TargetAspect
Slate Coffee + Deli,5,coffee,"If you want a place to read, study, or work, this could be the right place if they have few customers.",Facilities and Amenities
Matcha Ureshi Bar,5,matcha,Service?,Customer Service
Starbucks,5,coffee,"Good coffee, crowded",Ambiance and Atmosphere
PICKUP COFFEE - Davao Finance Center,5,coffee,Affordable coffee.,Product Quality
The Coffee Bar at GMall of Davao,5,coffee,Great service and vibrant atmosphere.,Ambiance and Atmosphere
KISOM Atelier,5,matcha,The matcha drink was soo good,Product Quality
PICKUP COFFEE - Oroderm City,5,coffee,Definitely a go-to spot for a quick coffee fix.,Product Quality
olo. Coffee And Concepts,5,coffee,barista was also kind to walk us through their selection of beverages.,Customer Service
The Crazy Bite Co. Sky Cafe,5,coffee,"It's a bit pricey for a regular meal but they got big servings, it's delicious and worth your budget.",Price and Value
Annipie @ The Farm,5,coffee,"The food is delicious, satisfying, and surprisingly affordable, making the experience even better.",Price and Value
Coffee at Yellow Hauz,4,coffee,Its a nice and quiet place to read with great food and service to match.,Product Quality
The Bloom Coffee & Start-Up Space,5,coffee,Free wifi if you order drinks.,Product Quality
JH Garden Cafe and Restaurant Matina,4,coffee,"Because of this, some food was cold, some was lukewarm, and some was hot.",Product Quality
Dunkin' Donuts- C. P. Garcia Highway,3,coffee,"The staff were not very welcoming and had nonchalant expressions(parang ang lalaki ng problema sa buhay), which made the experience feel cold.",Customer Service
ZeusX Esports and Cafe,1,coffee,You cannot play a game and have anything opened in the background cause it will automatically close the game.,Store Operations and Accessibility
The Matcha Tokyo - SM Davao,5,matcha,place is not crowded during non peak hours.,Store Operations and Accessibility
Starbucks,5,coffee,The waiting staff are so friendly and accomodating!,Customer Service
Purge Coffee Roaster,4,coffee,The price is very reasonable for its serving size.,Price and Value
Seattle's Best Coffee,1,coffee,"As a paying customer, I am deeply frustrated by the recurring issues at this branch, particularly the poor service in both the drive-thru and in-store ordering.",Customer Service
Starbucks - Abreeza Mall,5,coffee,Consistently blended coffee in any branch.,Product Quality
Chatime - SM Ecoland Davao,3,coffee,"Cute Near cr and entrance/exit Wide selction of flavours Tea, fruits, coffee and chocolate flavours available",Product Quality
Urban Grind,5,coffee,A chill spot for a coffee break.,Ambiance and Atmosphere
WKND 1970,5,coffee,"(See their fb page for updated schedule) I like that they have friendly neighborhood, pets walking on the street and just experience an outdoor coffee set up while having a moment with coffee buddies.",Customer Service
Out of Boredom,4,matcha,Small cafe with only 6 small tables but their drinks are flavorful.,Product Quality
BRGR Alley Café,5,coffee,The server was very friendly and caring.,Customer Service
olo. Coffee And Concepts,5,coffee,Go to coffee shop in Davao.,Product Quality
Lot 38 Kape,5,coffee,We had their version of sea salt latte (with a blue foam on top).,Product Quality
Starbucks Damosa IT Park Drive-Thru,5,coffee,The baristas are friendly and accomodating.,Customer Service
Cafe Demitasse,4,coffee,Still delicious food and friendly staff.,Product Quality
Chatime - SM Ecoland Davao,5,coffee,The price range is arising around Php90-110.,Price and Value
Starbucks,4,coffee,"Whether you're a regular or a first-timer, this Starbucks location delivers a consistent and enjoyable experience, embodying the ultimate blend of quality and comfort.",Store Operations and Accessibility
Coffee Maybe Davao,5,coffee,"If you have a car, they have a parking space too.",Facilities and Amenities
The Limestone Brew,4,coffee,"Overall, it's a solid place to visit if you don't mind spending a little extra for good food and a comfortable atmosphere.",Ambiance and Atmosphere
Kapeweñoz V. Mapa,5,coffee,affordable and quality coffee.,Product Quality
The Matcha Tokyo - Azuela High Street,3,matcha,Price-wise?,Price and Value
Cafe Demitasse,5,coffee,Though I really love their food.,Product Quality
Wood and Coffee Davao,4,coffee,"Great food, best place to muni-muni  grinning_face_with_smiling_eyes",Ambiance and Atmosphere
Starbucks - Matina IT Park,5,coffee,Bought coffee beans and asked if we could have a different coffee bean be grinded.,Product Quality
Kanoffee Toril,5,coffee,Kanoffee Toril is a hidden gem that satisfies your coffee cravings with its excellent Café Americano and iced coffee options.,Product Quality
The Crazy Bite Co. Sky Cafe,4,coffee,"Relaxed ambiance, amazing staff, food taste great, but portion size of the beef patty are too less - half size of the burger bun.",Customer Service
Seattle's Best Coffee,5,coffee,The parking area is enough but it might get full.,Store Operations and Accessibility
Paramount Coffee Crocodile Park Davao,5,coffee,"If you're a coffee lover visiting the area, this place is a must-try!",Product Quality
BRGR Alley Café,5,coffee,"Food was delicious, all staff welcoming and even goodbye to guest is nice.",Customer Service
MANU Coffee,1,coffee,Food is good but Hproper beans isnt burnt.,Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,Cafe Gervacios is a great place with good food and coffee.,Product Quality
Palps Cafe,5,coffee,"cozy atmosphere paired with friendly, attentive staff creates a welcoming environment.",Customer Service
Cafe Gervacios - Pastry and Coffee in Davao City,4,coffee,"We just had the cheesecake eclair (P198 for a 4-5"" long eclair), and tablea cookie (around P150) and cafe latte.",Product Quality
The Coffee Bar at GMall of Davao,5,coffee,This place has a versatile range of food and all of it suits my taste prefectly  smiling_face_with_smiling_eyes,Product Quality
Haron's Cafe,3,coffee,They are open till 3:00 am though.,Store Operations and Accessibility
olo. Coffee And Concepts,5,coffee,Nice vibe and staff are super friendly.,Ambiance and Atmosphere
Cafe Tavera,5,coffee,The food is good.,Product Quality
The Crazy Bite Co. Sky Cafe,3,coffee,"You can go here, think peacefully and enjoy the view and cheerfulness of the crew but I have to say that they dont have great food.",Customer Service
Coffee Project Mintal,4,coffee,Will update this review once I try more of their food.,Product Quality
Four Season Cafe,5,coffee,Lami dri.,Product Quality
Starbucks - SM City Davao,3,coffee,They are now back to pre Pandemic opening hours and they now charge extra for heavy cream on Americano,Store Operations and Accessibility
Café Joa,1,coffee,"I was hoping for a quiet environment to relax and get some work done, but it felt more like I'm in a public place with staff chatting most of the time at the front.",Customer Service
The Bloom Coffee & Start-Up Space,5,coffee,"Inside temp's just the chef's kiss but they also have alfresco, limited parking tho but worth it!",Store Operations and Accessibility
PICKUP COFFEE - Oroderm City,4,coffee,"But, it doesn't have wifi.",Facilities and Amenities
Verdeli Garden & Cafe,5,coffee,Nice and quiet place with delicious food that's grown in their own garden.,Product Quality
Knto Cinco - Puan Branch,5,coffee,This is my new fave coffee shop.,Product Quality
Matcha Bar - Marfori,5,matcha,love the service,Customer Service
Starbucks - Abreeza Mall,5,coffee,This branch has a wide area and good ambiance too.,Ambiance and Atmosphere
Haron's Cafe,5,coffee,"First time eating here, good atmosphere, well staffed and very good food.",Ambiance and Atmosphere
Black Scoop Cafe Matina,4,coffee,But no parking space for their clients.,Facilities and Amenities
Habitat Coffee - Tulip Branch,5,coffee,food was good and serving only took 15 minutes.,Product Quality
Annipie,5,coffee,"Nice meals, desserts, and coffee.",Product Quality
Koffiepauze,4,matcha,wifi and lots of meals to choose.,Facilities and Amenities
PICKUP COFFEE - Robinsons Cybergate Delta,3,coffee,"The tables were not cleaned, the staff were doing mediocre stuff.l, clumsy and unhygienic.",Customer Service
Knto Cinco - Puan Branch,4,coffee,"Overall, it's a cute and aesthetic cafe.",Ambiance and Atmosphere
Thirty Third Café,5,coffee,There's so much coffee shops already in town but some really tastes different.,Product Quality
Green Coffee - Ecoland,1,coffee,"On October 28, my family and I decided to visit the Green Coffee Ecoland branch at around 9:30 pm.",Product Quality
Knto Cinco - Puan Branch,2,coffee,"Overall, the place is nice and very aesthetic.",Ambiance and Atmosphere
Purge Coffee Roaster,5,coffee,Food is so so but it's fine.,Product Quality
"Miss Bridgette,",5,matcha,Great service.,Customer Service
Wild Zebra Coffee,5,coffee,I like the spanish latte here and the tuna sandwich  partying_face  partying_face  partying_face  red_heart  red_heart  red_heart  try it,Product Quality
Koffiepauze,5,matcha,The staff is warm and polite.,Customer Service
Purge Coffee Roaster,5,coffee,"It's only my second time but it is quickly growing on me, and fills a much needed cafe shop void caused by Coffee For Peace's move further south to Ecoland Drive.",Product Quality
The Forum Cafe,5,coffee,Great food and drinks!,Product Quality
Cafe Julieta,4,coffee,Good food + good place,Product Quality
Brew and Cinnamon Cafe,2,coffee,"Still welcome the idea of a second visit — hopefully, better service/staff attitude and improved food taste.",Product Quality
Starbucks - Abreeza Mall,4,coffee,had limited seats but staff were very accommodating.,Customer Service
Juice Cubi Roxas Avenue,3,coffee,Meals: They only offer pastries and finger foods Service & Staff: Very good Ambiance: Very good,Customer Service
Daleachious Cafe - Ecoland Branch,2,coffee,Disappointing coffee.,Product Quality
BRGR Alley Café,5,coffee,good food and good service,Customer Service
Blugré Coffee,4,coffee,Free parking too!,Store Operations and Accessibility
Annipie @ The Farm,4,coffee,"Food is great but since it's swamped, orders take some time to be served.",Product Quality
The Secret Garden Cafe,5,coffee,Serves delicious food.,Product Quality
Coffee at Yellow Hauz,3,coffee,"I could find similar cozy and big places of similarly priced food & beverages, but with free unlimited water and wifi.",Facilities and Amenities
STASH Coffee Co.,5,coffee,Their regular customers usually come to order coffee and do work.,Facilities and Amenities
Starbucks,5,coffee,"There's enough energy in the room to keep you from zoning out, but it's not so noisy that you can't focus.",Ambiance and Atmosphere
Whisk Davao Matcha,4,matcha,"Love the ambiance, too!",Ambiance and Atmosphere
BRGR Alley Café,5,coffee,delicious foods+ cozy place+ very welcoming staff red_heart,Customer Service
Anniepie,3,coffee,"Normally a nice coffee shop, but often you can't buy from the menu card.",Product Quality
The Crazy Bite Co. Sky Cafe,5,coffee,"A few burgers are filling, the patty is big (I'm not a fan of the taste & texture) but maybe your taste buds will like it  winking_face",Product Quality
Indahouse Cafe,2,coffee,"Place looks awesome, ambiance is great.",Ambiance and Atmosphere
Paramount Coffee Crocodile Park Davao,5,coffee,"Coffee is good, so is the place",Product Quality
Cafe Sierra,5,coffee,The owners are friendly and their place is instagrammable.,Ambiance and Atmosphere
JH Garden Cafe and Restaurant Matina,4,coffee,Food is on point.,Product Quality
Green Coffee - Marfori,4,coffee,Also tried the straberry vanilla latte because it sounded good but it was bad 2/5.,Product Quality
Kapeweñoz V. Mapa,5,coffee,"Overall, their coffee is affordable and tastes great.",Price and Value
Green Coffee - Diversion,1,coffee,Downside is the staff will purposely turn off the power in your socket while you're charging if they think you're staying long enough already.,Customer Service
